tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
5,defend_win,K-00,N-01,M-08,,1406,0.8909031788043871,knight wins (p=0.891),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
5,defend_win,K-00,N-01,M-09,,1543,0.9370266439430035,knight wins (p=0.937),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,10.8,319,,
5,defend_win,K-00,N-01,M-10,,1691,0.9370266439430035,knight wins (p=0.937),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
5,defend_win,K-00,N-01,M-11,,1854,0.95,knight wins (p=0.950),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
5,defend_win,K-00,N-01,M-12,,2036,0.9168273035060777,knight wins (p=0.917),,,,,,,,
5,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
5,defend_win,K-00,N-01,M-13,,2239,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
6,defend_win,K-00,N-01,M-00,,2474,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,10.3,319,,
6,defend_win,K-00,N-01,M-01,,2714,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
6,defend_win,K-00,N-01,M-02,,2982,0.8581489350995123,knight wins (p=0.858),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
6,defend_win,K-00,N-01,M-03,,3280,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
6,defend_win,K-00,N-01,M-04,,3608,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,10.8,319,,
6,defend_win,K-00,N-01,M-05,,3969,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,10.05,319,,
6,defend_win,K-00,N-01,M-06,,4366,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,10.8,319,,
6,defend_win,K-00,N-01,M-07,,4803,0.8581489350995123,knight wins (p=0.858),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,10.3,319,,
6,defend_win,K-00,N-01,M-08,,5283,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
6,defend_win,K-00,N-01,M-09,,5811,0.9370266439430035,knight wins (p=0.937),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,9.8,319,,
6,defend_win,K-00,N-01,M-10,,6392,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
6,defend_win,K-00,N-01,M-11,,7032,0.95,knight wins (p=0.950),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
6,defend_win,K-00,N-01,M-12,,7735,0.9168273035060777,knight wins (p=0.917),,,,,,,,
6,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
6,defend_win,K-00,N-01,M-13,,8508,0.9370266439430035,knight wins (p=0.937),,,,,,,,
